acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    4.0200001001e-01,    3.4769146442e+00,    4.9294700623e+00,    1.3792361259e+01,    1.5078639030e+01,
    4.0400001407e-01,    3.1181986332e+00,    4.3472914696e+00,    1.5584753036e+01,    1.6543478012e+01,
    4.0700000525e-01,    3.8036737442e+00,    4.5344533920e+00,    1.8177461624e+01,    1.8501466751e+01,
    4.0900000930e-01,    5.2090029716e+00,    5.5644440651e+00,    2.0043346405e+01,    1.9918924332e+01,
    4.1200000048e-01,    8.6762132645e+00,    8.5285129547e+00,    2.3073617935e+01,    2.2375938416e+01,
    4.1400000453e-01,    1.1742033958e+01,    1.1371263504e+01,    2.5043212891e+01,    2.4113115311e+01,
    4.1699999571e-01,    1.7006359100e+01,    1.6557722092e+01,    2.7543195724e+01,    2.6585124969e+01,
    4.1899999976e-01,    2.0612041473e+01,    2.0298454285e+01,    2.8843378067e+01,    2.8088066101e+01,
    4.2199999094e-01,    2.5493015289e+01,    2.5610952377e+01,    3.0512250900e+01,    3.0303998947e+01,
    4.2399999499e-01,    2.8006423950e+01,    2.8497032166e+01,    3.1574419022e+01,    3.1801641464e+01,
    4.2699998617e-01,    3.0328584671e+01,    3.1343435287e+01,    3.3228622437e+01,    3.4026412964e+01,
    4.2899999022e-01,    3.0947462082e+01,    3.2189243317e+01,    3.4459533691e+01,    3.5476043701e+01,
    4.3200001121e-01,    3.0873006821e+01,    3.2174037933e+01,    3.6372543335e+01,    3.7389919281e+01,
    4.3399998546e-01,    3.0462186813e+01,    3.1624191284e+01,    3.7425903320e+01,    3.8254379272e+01,
    4.3700000644e-01,    2.9783824921e+01,    3.0575920105e+01,    3.8177288055e+01,    3.8582202911e+01,
    4.3900001049e-01,    2.9427076340e+01,    2.9949920654e+01,    3.7848827362e+01,    3.7981391907e+01,
    4.4200000167e-01,    2.8926063538e+01,    2.9134683609e+01,    3.5713703156e+01,    3.5595321655e+01,
    4.4400000572e-01,    2.8423614502e+01,    2.8524188995e+01,    3.3173297882e+01,    3.3032249451e+01,
    4.4699999690e-01,    2.7054868698e+01,    2.7165346146e+01,    2.8144475937e+01,    2.8178319931e+01,
    4.4900000095e-01,    2.5612216949e+01,    2.5832809448e+01,    2.4434446335e+01,    2.4689748764e+01,
    4.5199999213e-01,    2.2711950302e+01,    2.3215194702e+01,    1.9151058197e+01,    1.9821601868e+01,
    4.5399999619e-01,    2.0455633163e+01,    2.1198207855e+01,    1.6152229309e+01,    1.7115308762e+01,
    4.5699998736e-01,    1.6830207825e+01,    1.7963403702e+01,    1.2271615982e+01,    1.3660360336e+01,
    4.5899999142e-01,    1.4309402466e+01,    1.5698541641e+01,    9.5281829834e+00,    1.1188672066e+01,
    4.6200001240e-01,    1.0496816635e+01,    1.2209152222e+01,    4.3189144135e+00,    6.3531327248e+00,
    4.6399998665e-01,    8.0674667358e+00,    9.9180097580e+00,    1.9477729499e-01,    2.4218308926e+00,
    4.6700000763e-01,    4.7675700188e+00,    6.6637744904e+00,   -5.9230003357e+00,   -3.5676519871e+00,
    4.6900001168e-01,    2.8266394138e+00,    4.6407685280e+00,   -9.2515058517e+00,   -6.9461517334e+00,
    4.7200000286e-01,    3.9405995607e-01,    1.9488838911e+00,   -1.2534700394e+01,   -1.0489235878e+01,
    4.7400000691e-01,   -7.3567616940e-01,    5.9273439646e-01,   -1.3546420097e+01,   -1.1753273010e+01,
    4.7699999809e-01,   -1.4248615503e+00,   -4.4826263189e-01,   -1.3423223495e+01,   -1.2042590141e+01,
    4.7900000215e-01,   -1.2169659138e+00,   -4.5830482244e-01,   -1.2243109703e+01,   -1.1135272980e+01,
    4.8199999332e-01,   -2.1798363328e-01,    2.5934389234e-01,   -8.9436683655e+00,   -8.2273941040e+00,
    4.8399999738e-01,    6.8371772766e-01,    1.0155191422e+00,   -6.0176982880e+00,   -5.5356698036e+00,
    4.8699998856e-01,    2.1416273117e+00,    2.3608298302e+00,   -2.0585784912e+00,   -1.7945829630e+00,
    4.8899999261e-01,    3.1073126793e+00,    3.3495564461e+00,   -9.4197052717e-01,   -6.6089612246e-01,
    4.9200001359e-01,    4.7337121964e+00,    5.1176161766e+00,   -1.6818518639e+00,   -1.1602065563e+00,
    4.9399998784e-01,    6.1983957291e+00,    6.6672043800e+00,   -2.3523476124e+00,   -1.6553093195e+00,
    4.9700000882e-01,    8.8447122574e+00,    9.3102083206e+00,   -1.8628426790e+00,   -1.0677810907e+00,
    4.9900001287e-01,    1.0298816681e+01,    1.0668215752e+01,   -1.1668248177e+00,   -4.1711023450e-01,
    5.0199997425e-01,    1.0737723351e+01,    1.0875523567e+01,   -1.5553673506e+00,   -9.5058101416e-01,
    5.0400000811e-01,    9.3054618835e+00,    9.2683496475e+00,   -3.3774101734e+00,   -2.8808186054e+00,
    5.0700002909e-01,    4.4781875610e+00,    4.1988310814e+00,   -7.8774442673e+00,   -7.5470776558e+00,
    5.0900000334e-01,    3.4694567323e-02,   -3.7642759085e-01,   -1.1051464081e+01,   -1.0847809792e+01,
    5.1200002432e-01,   -7.2531566620e+00,   -7.8050241470e+00,   -1.5117855072e+01,   -1.5125465393e+01,
    5.1399999857e-01,   -1.2181675911e+01,   -1.2782596588e+01,   -1.8021595001e+01,   -1.8143381119e+01,
    5.1700001955e-01,   -1.9686822891e+01,   -2.0291082382e+01,   -2.4339769363e+01,   -2.4522996902e+01,
    5.1899999380e-01,   -2.4853340149e+01,   -2.5427875519e+01,   -2.9883153915e+01,   -3.0047508240e+01,
